Date,Open,High,Low,Close
2015-12-09 00:00:00+05:30,7695.5,7702.850098,7606.899902,7612.5
2015-12-10 00:00:00+05:30,7643.299805,7691.950195,7610,7683.299805
2015-12-11 00:00:00+05:30,7699.600098,7703.049805,7575.299805,7610.450195
2015-12-14 00:00:00+05:30,7558.200195,7663.950195,7551.049805,7650.049805
2015-12-15 00:00:00+05:30,7659.149902,7705,7625.100098,7700.899902
2015-12-16 00:00:00+05:30,7725.25,7776.600098,7715.75,7750.899902
2015-12-17 00:00:00+05:30,7783.049805,7852.899902,7737.549805,7844.350098
2015-12-18 00:00:00+05:30,7828.899902,7836.149902,7753.350098,7761.950195
2015-12-21 00:00:00+05:30,7745.649902,7840.75,7733.450195,7834.450195
2015-12-22 00:00:00+05:30,7829.399902,7846.299805,7776.850098,7786.100098
2015-12-23 00:00:00+05:30,7830.450195,7871.450195,7826.100098,7865.950195
2015-12-24 00:00:00+05:30,7888.75,7888.75,7835.5,7861.049805
2015-12-28 00:00:00+05:30,7863.200195,7937.200195,7863,7925.149902
2015-12-29 00:00:00+05:30,7929.200195,7942.149902,7902.75,7928.950195
2015-12-30 00:00:00+05:30,7938.600098,7944.75,7889.850098,7896.25
2015-12-31 00:00:00+05:30,7897.799805,7955.549805,7891.149902,7946.350098
2016-01-04 00:00:00+05:30,7924.549805,7937.549805,7781.100098,7791.299805
2016-01-05 00:00:00+05:30,7828.399902,7831.200195,7763.25,7784.649902
2016-01-06 00:00:00+05:30,7788.049805,7800.950195,7721.200195,7741
2016-01-07 00:00:00+05:30,7673.350098,7674.950195,7556.600098,7568.299805
2016-01-08 00:00:00+05:30,7611.649902,7634.100098,7581.049805,7601.350098
2016-01-11 00:00:00+05:30,7527.450195,7605.100098,7494.350098,7563.850098
2016-01-12 00:00:00+05:30,7587.200195,7588.299805,7487.799805,7510.299805
2016-01-13 00:00:00+05:30,7557.899902,7590.950195,7425.799805,7562.399902
2016-01-14 00:00:00+05:30,7467.399902,7604.799805,7443.799805,7536.799805
2016-01-15 00:00:00+05:30,7561.649902,7566.5,7427.299805,7437.799805
2016-01-18 00:00:00+05:30,7420.350098,7463.649902,7336.399902,7351
2016-01-19 00:00:00+05:30,7381.799805,7462.75,7364.149902,7435.100098
2016-01-20 00:00:00+05:30,7357,7470.899902,7241.5,7309.299805
2016-01-21 00:00:00+05:30,7376.649902,7398.700195,7250,7276.799805
2016-01-22 00:00:00+05:30,7355.700195,7433.399902,7327.600098,7422.450195
2016-01-25 00:00:00+05:30,7468.75,7487.149902,7421.200195,7436.149902
2016-01-27 00:00:00+05:30,7469.600098,7477.899902,7419.700195,7437.75
2016-01-28 00:00:00+05:30,7426.5,7468.850098,7409.600098,7424.649902
2016-01-29 00:00:00+05:30,7413.350098,7575.649902,7402.799805,7563.549805
2016-02-01 00:00:00+05:30,7589.5,7600.450195,7541.25,7555.950195
2016-02-02 00:00:00+05:30,7566.649902,7576.299805,7428.049805,7455.549805
2016-02-03 00:00:00+05:30,7392.450195,7419.399902,7350.299805,7361.799805
2016-02-04 00:00:00+05:30,7411.450195,7457.049805,7365.950195,7404
2016-02-05 00:00:00+05:30,7418.25,7503.149902,7406.649902,7489.100098
2016-02-08 00:00:00+05:30,7489.700195,7512.549805,7363.200195,7387.25
2016-02-09 00:00:00+05:30,7303.950195,7323.450195,7275.149902,7298.200195
2016-02-10 00:00:00+05:30,7264.299805,7271.850098,7177.75,7215.700195
2016-02-11 00:00:00+05:30,7203.600098,7208.649902,6959.950195,6976.350098
2016-02-12 00:00:00+05:30,7023.649902,7034.799805,6869,6980.950195
2016-02-15 00:00:00+05:30,7057.350098,7182.799805,7056.799805,7162.950195
2016-02-16 00:00:00+05:30,7201.25,7204.649902,7037.700195,7048.25
2016-02-17 00:00:00+05:30,7058.850098,7123.700195,6960.649902,7108.450195
2016-02-18 00:00:00+05:30,7177.399902,7215.100098,7127.850098,7191.75
2016-02-19 00:00:00+05:30,7170.549805,7226.850098,7145.950195,7210.75
2016-02-22 00:00:00+05:30,7208.850098,7252.399902,7200.700195,7234.549805
2016-02-23 00:00:00+05:30,7240.299805,7241.700195,7090.700195,7109.549805
2016-02-24 00:00:00+05:30,7075,7090.799805,7009.75,7018.700195
2016-02-25 00:00:00+05:30,7029.850098,7034.200195,6961.399902,6970.600098
2016-02-26 00:00:00+05:30,7039.299805,7052.899902,6985.100098,7029.75
2016-02-29 00:00:00+05:30,7050.450195,7094.600098,6825.799805,6987.049805
2016-03-01 00:00:00+05:30,7038.25,7235.5,7035.100098,7222.299805
2016-03-02 00:00:00+05:30,7321.700195,7380.350098,7308.149902,7368.850098
2016-03-03 00:00:00+05:30,7429.549805,7483.950195,7406.049805,7475.600098
2016-03-04 00:00:00+05:30,7505.399902,7505.899902,7444.100098,7485.350098
2016-03-08 00:00:00+05:30,7486.399902,7527.149902,7442.149902,7485.299805
2016-03-09 00:00:00+05:30,7436.100098,7539,7424.299805,7531.799805
2016-03-10 00:00:00+05:30,7545.350098,7547.100098,7447.399902,7486.149902
2016-03-11 00:00:00+05:30,7484.850098,7543.950195,7460.600098,7510.200195
2016-03-14 00:00:00+05:30,7542.600098,7583.700195,7515.049805,7538.75
2016-03-15 00:00:00+05:30,7535.850098,7545.200195,7452.799805,7460.600098
2016-03-16 00:00:00+05:30,7457.049805,7508,7405.149902,7498.75
2016-03-17 00:00:00+05:30,7557.399902,7585.299805,7479.399902,7512.549805
2016-03-18 00:00:00+05:30,7534.649902,7613.600098,7517.899902,7604.350098
2016-03-21 00:00:00+05:30,7619.200195,7713.549805,7617.700195,7704.25
2016-03-22 00:00:00+05:30,7695.549805,7728.200195,7643.799805,7714.899902
2016-03-23 00:00:00+05:30,7717.450195,7726.850098,7670.600098,7716.5
2016-03-28 00:00:00+05:30,7741,7749.399902,7587.700195,7615.100098
2016-03-29 00:00:00+05:30,7606.549805,7652.899902,7582.25,7597
2016-03-30 00:00:00+05:30,7651.100098,7741.950195,7643.450195,7735.200195
2016-03-31 00:00:00+05:30,7727.649902,7777.600098,7702,7738.399902
2016-04-01 00:00:00+05:30,7718.049805,7740.149902,7666.100098,7713.049805
2016-04-04 00:00:00+05:30,7733.149902,7764.450195,7704.399902,7758.799805
2016-04-05 00:00:00+05:30,7736.299805,7736.299805,7588.649902,7603.200195
2016-04-06 00:00:00+05:30,7636.049805,7638.649902,7591.75,7614.350098
2016-04-07 00:00:00+05:30,7630.399902,7630.75,7535.850098,7546.450195
2016-04-08 00:00:00+05:30,7542.350098,7569.350098,7526.700195,7555.200195
2016-04-11 00:00:00+05:30,7577.799805,7678.799805,7516.850098,7671.399902
2016-04-12 00:00:00+05:30,7669.25,7717.399902,7663.350098,7708.950195
2016-04-13 00:00:00+05:30,7777.149902,7864.799805,7772.200195,7850.450195
2016-04-18 00:00:00+05:30,7908.149902,7920.600098,7842.75,7914.700195
2016-04-20 00:00:00+05:30,7950.049805,7950.399902,7877.549805,7914.75
2016-04-21 00:00:00+05:30,7953.649902,7978.450195,7884.100098,7912.049805
2016-04-22 00:00:00+05:30,7891.799805,7923.350098,7873.350098,7899.299805
2016-04-25 00:00:00+05:30,7894.799805,7911,7827,7855.049805
